country,image,gggi2006rank,gggi2006score,gggi2021rank,gggi2021score,epo2006rank,epo2006score,epo2021rank,epo2021score,ea2006rank,ea2006score,ea2021rank,ea2021score,hs2006rank,hs2006score,hs2021rank,hs2021score,pe2006rank,pe2006score,pe2021rank,pe2021score
Iceland,1,4,0.781,1,0.892,17,0.711,4,0.846,50,0.991,38,0.999,92,0.968,127,0.964,4,0.456,1,0.760
Finland,2,3,0.796,2,0.861,8,0.734,13,0.806,18,0.999,1,1.000,1,0.980,79,0.970,3,0.470,2,0.669
Norway,3,2,0.799,3,0.849,11,0.729,20,0.792,15,1.000,33,1.000,61,0.975,126,0.964,2,0.494,3,0.640
New Zealand,4,7,0.751,4,0.840,14,0.714,27,0.763,17,0.999,1,1.000,69,0.973,106,0.966,11,0.317,4,0.630
Sweden,5,1,0.813,5,0.823,9,0.731,11,0.810,23,0.999,61,0.996,70,0.973,133,0.962,1,0.550,9,0.522
Namibia,6,38,0.686,6,0.809,57,0.614,19,0.794,43,0.993,34,1.000,93,0.967,1,0.980,29,0.172,19,0.463
Rwanda,7,,,7,0.805,,,48,0.726,,,115,0.957,,,63,0.974,,,6,0.563
Lithuania,8,21,0.708,8,0.804,15,0.713,12,0.808,24,0.998,51,0.998,36,0.979,1,0.980,39,0.140,22,0.429
Ireland,9,10,0.733,9,0.800,47,0.640,43,0.733,1,1.000,48,0.998,81,0.970,119,0.964,9,0.323,11,0.504
Switzerland,10,26,0.700,10,0.798,18,0.709,39,0.743,79,0.957,80,0.992,35,0.979,128,0.964,34,0.154,12,0.494
Germany,11,5,0.752,11,0.796,32,0.669,62,0.706,31,0.995,55,0.997,36,0.979,75,0.972,6,0.366,10,0.509
Nicaragua,12,62,0.657,12,0.796,101,0.463,120,0.598,40,0.994,1,1.000,50,0.978,39,0.978,25,0.192,5,0.606
Belgium,13,20,0.708,13,0.789,54,0.620,59,0.709,1,1.000,1,1.000,1,0.980,98,0.968,19,0.232,16,0.480
Spain,14,11,0.732,14,0.788,85,0.539,71,0.699,38,0.994,44,0.998,71,0.973,114,0.965,5,0.421,15,0.491
Costa Rica,15,30,0.694,15,0.786,89,0.522,110,0.624,32,0.995,35,1.000,1,0.980,66,0.973,15,0.277,8,0.545
France,16,70,0.652,16,0.784,88,0.525,58,0.710,1,1.000,1,1.000,1,0.980,86,0.970,60,0.104,20,0.457
Philippines,17,6,0.752,17,0.784,4,0.757,18,0.795,1,1.000,39,0.999,1,0.980,34,0.979,16,0.269,33,0.362
South Africa,18,18,0.713,18,0.781,79,0.556,92,0.658,42,0.993,69,0.994,59,0.976,37,0.979,8,0.326,14,0.493
Serbia,19,,,19,0.780,,,54,0.716,,,52,0.998,,,89,0.969,,,21,0.437
Latvia,20,19,0.709,20,0.778,20,0.705,8,0.822,85,0.931,1,1.000,1,0.980,52,0.976,21,0.221,42,0.313
Austria,21,27,0.699,21,0.777,81,0.553,88,0.665,68,0.980,1,1.000,1,0.980,83,0.970,14,0.282,17,0.473
Portugal,22,33,0.692,22,0.775,33,0.669,38,0.746,57,0.989,76,0.992,71,0.973,73,0.972,40,0.138,26,0.390
United Kingdom,23,9,0.736,23,0.775,37,0.664,55,0.716,1,1.000,40,0.999,63,0.974,110,0.966,12,0.307,23,0.419
Canada,24,14,0.716,24,0.772,10,0.730,40,0.741,21,0.999,1,1.000,51,0.978,100,0.968,33,0.159,29,0.381
Albania,25,61,0.661,25,0.770,38,0.661,35,0.748,58,0.989,42,0.999,110,0.955,147,0.956,105,0.038,30,0.377
Burundi,26,,,26,0.769,,,3,0.855,,,132,0.896,,,33,0.979,,,36,0.345
Barbados,27,,,27,0.769,,,7,0.837,,,83,0.991,,,97,0.968,,,50,0.278
Moldova,28,17,0.713,28,0.768,2,0.760,10,0.811,37,0.994,63,0.996,1,0.980,1,0.980,50,0.117,48,0.286
Denmark,29,8,0.746,29,0.768,19,0.708,42,0.736,1,1.000,1,1.000,76,0.972,119,0.964,13,0.305,32,0.371
United States,30,23,0.704,30,0.763,3,0.759,30,0.754,66,0.982,36,1.000,1,0.980,87,0.970,66,0.097,37,0.329
Netherlands,31,12,0.725,31,0.762,51,0.635,57,0.713,73,0.972,1,1.000,67,0.974,135,0.962,10,0.319,31,0.375
Mozambique,32,,,32,0.758,,,95,0.655,,,130,0.904,,,1,0.980,,,13,0.494
Belarus,33,,,33,0.758,,,5,0.840,,,41,0.999,,,47,0.977,,,66,0.216
Mexico,34,75,0.646,34,0.757,98,0.480,122,0.590,45,0.992,56,0.997,1,0.980,58,0.975,45,0.133,18,0.468
Argentina,35,41,0.683,35,0.752,82,0.551,103,0.639,29,0.997,1,1.000,1,0.980,48,0.977,23,0.204,25,0.390
Lao PDR,36,,,36,0.750,,,1,0.915,,,112,0.965,,,57,0.975,,,104,0.146
Trinidad and Tobago,37,45,0.680,37,0.749,56,0.614,68,0.703,30,0.996,68,0.994,1,0.980,1,0.980,46,0.130,39,0.319
Bulgaria,38,37,0.687,38,0.746,58,0.613,41,0.738,56,0.989,82,0.991,36,0.979,34,0.979,30,0.167,52,0.275
Cuba,39,,,39,0.746,,,108,0.630,,,45,0.998,,,68,0.973,,,27,0.382
Jamaica,40,25,0.701,40,0.741,7,0.738,24,0.768,1,1.000,1,1.000,82,0.970,101,0.968,65,0.098,64,0.230
Slovenia,41,51,0.675,41,0.741,34,0.667,15,0.803,22,0.999,28,1.000,71,0.973,49,0.977,88,0.060,83,0.184
Ecuador,42,82,0.643,42,0.739,92,0.499,81,0.675,39,0.994,58,0.997,1,0.980,92,0.968,64,0.100,40,0.318
El Salvador,43,39,0.684,43,0.738,73,0.570,106,0.634,59,0.988,77,0.992,1,0.980,1,0.980,24,0.197,35,0.347
Panama,44,31,0.693,44,0.737,44,0.647,45,0.731,35,0.995,66,0.994,47,0.979,69,0.973,35,0.153,57,0.252
Croatia,45,16,0.714,45,0.733,42,0.651,87,0.666,51,0.990,64,0.995,36,0.979,45,0.978,18,0.238,47,0.294
Estonia,46,29,0.694,46,0.733,27,0.682,31,0.754,16,0.999,1,1.000,36,0.979,59,0.975,51,0.117,75,0.201
Zimbabwe,47,76,0.646,47,0.732,62,0.606,28,0.763,87,0.920,100,0.977,108,0.957,1,0.980,62,0.102,71,0.210
Montenegro,48,,,48,0.732,,,37,0.748,,,50,0.998,,,84,0.970,,,70,0.212
Georgia,49,54,0.670,49,0.732,41,0.656,64,0.705,28,0.997,30,1.000,115,0.923,50,0.977,59,0.104,60,0.245
Australia,50,15,0.716,50,0.731,12,0.726,70,0.700,1,1.000,1,1.000,57,0.976,99,0.968,32,0.163,54,0.258
Suriname,51,,,51,0.729,,,67,0.703,,,71,0.993,,,90,0.969,,,56,0.252
Eswatini,52,,0.660,52,0.729,,0.621,17,0.797,,0.960,79,0.992,,0.948,1,0.980,,0.111,102,0.147
Guyana,53,,,53,0.728,,,105,0.638,,,91,0.984,,,1,0.980,,,44,0.310
Singapore,54,65,0.655,54,0.727,45,0.646,33,0.749,86,0.931,87,0.990,107,0.960,132,0.963,75,0.083,72,0.208
Luxembourg,55,56,0.667,55,0.726,76,0.560,75,0.691,1,1.000,1,1.000,71,0.973,117,0.965,44,0.135,58,0.247
Zambia,56,85,0.636,56,0.726,64,0.602,14,0.804,100,0.843,125,0.938,102,0.963,1,0.980,43,0.135,84,0.180
Madagascar,57,84,0.639,57,0.725,71,0.578,32,0.754,76,0.960,93,0.982,49,0.978,111,0.965,104,0.038,76,0.200
Bahamas,58,,,58,0.725,,,2,0.857,,,1,1.000,,,1,0.980,,,146,0.064
Colombia,59,22,0.705,59,0.725,39,0.661,60,0.708,14,1.000,1,1.000,1,0.980,56,0.975,27,0.180,67,0.216
Israel,60,35,0.689,60,0.724,46,0.641,65,0.705,36,0.995,1,1.000,83,0.969,121,0.964,36,0.150,65,0.227
Bolivia,61,87,0.634,61,0.722,77,0.559,121,0.595,89,0.917,96,0.981,79,0.970,137,0.962,71,0.087,34,0.352
Peru,62,60,0.662,62,0.721,86,0.531,109,0.629,71,0.976,95,0.981,58,0.976,125,0.964,31,0.165,43,0.310
Italy,63,77,0.646,63,0.721,87,0.527,114,0.609,27,0.997,57,0.997,77,0.972,118,0.965,72,0.087,41,0.313
Timorleste,64,,,64,0.720,,,49,0.724,,,123,0.946,,,71,0.972,,,62,0.238
Bangladesh,65,91,0.627,65,0.719,107,0.423,147,0.418,95,0.868,121,0.951,113,0.950,134,0.962,17,0.267,7,0.546
Uganda,66,47,0.680,66,0.717,28,0.677,74,0.692,98,0.859,131,0.898,60,0.976,1,0.980,22,0.207,46,0.296
Honduras,67,74,0.648,67,0.716,99,0.478,52,0.721,1,1.000,1,1.000,1,0.980,122,0.964,42,0.136,85,0.179
Cape Verde,68,,,68,0.716,,,29,0.761,,,106,0.972,,,1,0.980,,,99,0.152
Mongolia,69,42,0.682,69,0.716,21,0.704,23,0.769,20,0.999,73,0.993,1,0.980,1,0.980,101,0.046,116,0.122
Chile,70,78,0.645,70,0.716,90,0.514,113,0.610,69,0.980,31,1.000,1,0.980,78,0.970,56,0.109,49,0.283
Botswana,71,34,0.690,71,0.716,23,0.693,16,0.799,67,0.981,1,1.000,109,0.956,1,0.980,47,0.129,135,0.084
United Arab Emirates,72,101,0.592,72,0.716,109,0.403,135,0.510,61,0.986,89,0.987,100,0.964,130,0.963,112,0.015,24,0.403
North Macedonia,73,28,0.698,73,0.715,31,0.671,97,0.647,64,0.985,99,0.977,101,0.964,85,0.970,28,0.173,53,0.267
Ukraine,74,48,0.680,74,0.714,24,0.691,44,0.732,25,0.998,27,1.000,1,0.980,41,0.978,97,0.050,103,0.147
Poland,75,44,0.680,75,0.713,50,0.635,63,0.705,13,1.000,60,0.996,36,0.979,1,0.980,58,0.107,89,0.171
Bosnia and Herzegovina,76,,,76,0.713,,,115,0.608,,,110,0.967,,,64,0.974,,,45,0.302
Slovak Republic,77,50,0.676,77,0.712,43,0.650,80,0.682,34,0.995,1,1.000,1,0.980,1,0.980,77,0.077,82,0.184
Czech Republic,78,53,0.671,78,0.711,52,0.627,91,0.662,47,0.991,1,1.000,36,0.979,44,0.978,70,0.088,73,0.203
Thailand,79,40,0.683,79,0.710,13,0.722,22,0.787,72,0.973,74,0.992,1,0.980,41,0.978,89,0.058,134,0.084
Kazakhstan,80,32,0.693,80,0.710,16,0.713,47,0.728,53,0.990,65,0.995,36,0.979,55,0.975,69,0.089,106,0.141
Russian Federation,81,49,0.677,81,0.708,22,0.696,25,0.767,19,0.999,1,1.000,36,0.979,1,0.980,108,0.034,133,0.085
Tanzania,82,24,0.704,82,0.707,1,0.809,66,0.703,97,0.859,127,0.921,95,0.967,80,0.970,26,0.180,63,0.235
Cyprus,83,83,0.643,83,0.707,75,0.562,72,0.694,55,0.989,49,0.998,84,0.969,140,0.960,95,0.052,86,0.177
Malta,84,71,0.652,84,0.703,91,0.510,94,0.656,26,0.998,1,1.000,65,0.974,116,0.965,48,0.126,80,0.192
Uruguay,85,66,0.655,85,0.702,60,0.611,76,0.690,47,0.991,29,1.000,1,0.980,1,0.980,103,0.039,107,0.140
Paraguay,86,64,0.656,86,0.702,80,0.554,85,0.672,83,0.944,47,0.998,1,0.980,62,0.974,38,0.144,94,0.164
Viet Nam,87,,,87,0.701,,,26,0.765,,,94,0.982,,,152,0.945,,,121,0.113
Romania,88,46,0.680,88,0.700,30,0.673,50,0.723,44,0.993,54,0.997,36,0.979,1,0.980,79,0.074,129,0.100
Dominican Republic,89,59,0.664,89,0.699,78,0.559,101,0.646,1,1.000,32,1.000,1,0.980,1,0.980,49,0.117,88,0.172
Belize,90,,,90,0.699,,,34,0.749,,,81,0.991,,,31,0.980,,,140,0.075
Venezuela,91,57,0.666,91,0.699,66,0.600,112,0.617,62,0.986,43,0.998,71,0.973,1,0.980,57,0.107,77,0.199
Lesotho,92,43,0.681,92,0.698,61,0.607,98,0.647,1,1.000,1,1.000,1,0.980,1,0.980,41,0.136,91,0.165
Brazil,93,67,0.654,93,0.695,63,0.604,89,0.665,74,0.972,37,1.000,1,0.980,1,0.980,86,0.061,108,0.138
Liberia,94,,,94,0.693,,,53,0.717,,,142,0.839,,,136,0.962,,,55,0.255
Kenya,95,73,0.649,95,0.692,40,0.657,84,0.672,88,0.918,126,0.929,96,0.966,60,0.975,93,0.053,79,0.193
Cameroon,96,103,0.587,96,0.692,94,0.495,61,0.706,101,0.824,137,0.885,97,0.966,67,0.973,85,0.061,74,0.202
Ethiopia,97,100,0.595,97,0.691,74,0.568,128,0.560,108,0.739,141,0.850,87,0.969,77,0.971,61,0.102,28,0.382
Greece,98,69,0.654,98,0.689,70,0.585,83,0.672,46,0.992,67,0.994,53,0.978,107,0.966,87,0.061,115,0.123
Hungary,99,55,0.670,99,0.688,48,0.640,86,0.669,49,0.991,72,0.993,36,0.979,1,0.980,82,0.069,124,0.112
Azerbaijan,100,,,100,0.688,,,36,0.748,,,62,0.996,,,154,0.939,,,141,0.069
Indonesia,101,68,0.654,101,0.688,67,0.598,99,0.647,81,0.949,107,0.970,88,0.969,76,0.971,63,0.101,92,0.164
Korea Rep.,102,92,0.616,102,0.687,96,0.481,123,0.586,82,0.948,104,0.973,94,0.967,54,0.976,84,0.067,68,0.214
Cambodia,103,89,0.629,103,0.684,29,0.675,46,0.729,105,0.809,128,0.919,1,0.980,46,0.978,94,0.053,126,0.111
Senegal,104,,,104,0.684,,,131,0.554,,,136,0.888,,,103,0.967,,,38,0.327
Togo,105,,,105,0.683,,,21,0.787,,,147,0.782,,,38,0.979,,,81,0.185
Nepal,106,111,0.548,106,0.683,100,0.465,107,0.630,109,0.734,134,0.895,111,0.953,113,0.965,102,0.039,61,0.241
China,107,63,0.656,107,0.682,53,0.621,69,0.701,78,0.957,103,0.973,114,0.936,156,0.935,52,0.111,118,0.118
Kyrgyz Republic,108,52,0.674,108,0.681,26,0.687,100,0.646,33,0.995,85,0.990,1,0.980,1,0.980,107,0.035,127,0.108
Myanmar,109,,,109,0.681,,,93,0.657,,,102,0.975,,,1,0.980,,,120,0.113
Mauritius,110,88,0.633,110,0.679,95,0.483,118,0.600,65,0.983,78,0.992,1,0.980,1,0.980,73,0.085,105,0.144
Brunei Darussalam,111,,,111,0.678,,,51,0.722,,,75,0.992,,,112,0.965,,,152,0.031
Malaysia,112,72,0.651,112,0.676,68,0.592,104,0.638,63,0.985,70,0.994,80,0.970,74,0.972,90,0.056,128,0.102
Fiji,113,,,113,0.674,,,127,0.568,,,53,0.997,,,72,0.972,,,95,0.160
Armenia,114,,,114,0.673,,,96,0.655,,,46,0.998,,,150,0.950,,,132,0.091
Malawi,115,81,0.644,115,0.671,36,0.665,111,0.624,96,0.860,129,0.915,106,0.960,1,0.980,68,0.090,93,0.164
Sri Lanka,116,13,0.720,116,0.670,84,0.545,132,0.547,52,0.990,88,0.988,1,0.980,30,0.980,7,0.365,90,0.167
Ghana,117,58,0.665,117,0.666,5,0.753,119,0.598,94,0.868,120,0.951,89,0.969,40,0.978,80,0.071,110,0.135
Guinea,118,,,118,0.660,,,6,0.839,,,153,0.680,,,109,0.966,,,96,0.157
Angola,119,96,0.604,119,0.657,69,0.587,102,0.646,107,0.779,148,0.759,1,0.980,53,0.976,81,0.070,59,0.245
Japan,120,80,0.645,120,0.656,83,0.545,117,0.604,60,0.986,92,0.983,1,0.980,65,0.973,83,0.067,147,0.061
Sierra Leone,121,,,121,0.655,,,56,0.713,,,140,0.860,,,108,0.966,,,136,0.083
Guatemala,122,95,0.607,122,0.655,104,0.443,129,0.560,91,0.895,109,0.969,1,0.980,32,0.979,54,0.110,122,0.112
Benin,123,110,0.578,123,0.653,55,0.618,9,0.814,113,0.643,150,0.733,86,0.969,70,0.973,76,0.082,131,0.093
Burkina Faso,124,104,0.585,124,0.651,49,0.639,77,0.689,112,0.646,139,0.873,68,0.973,43,0.978,74,0.084,145,0.066
Tajikistan,125,,,125,0.650,,,125,0.574,,,124,0.942,,,88,0.969,,,123,0.112
Tunisia,126,90,0.629,126,0.649,97,0.480,144,0.445,76,0.959,108,0.970,98,0.966,91,0.969,53,0.110,69,0.212
Gambia The,127,79,0.645,127,0.644,25,0.688,116,0.607,106,0.809,135,0.891,64,0.974,93,0.968,55,0.109,125,0.112
Maldives,128,,,128,0.642,,,138,0.491,,,1,1.000,,,148,0.955,,,117,0.121
Egypt,129,109,0.579,129,0.639,108,0.416,146,0.421,90,0.903,105,0.973,66,0.974,102,0.968,111,0.022,78,0.196
Bhutan,130,,,130,0.639,,,130,0.556,,,117,0.954,,,131,0.963,,,137,0.082
Jordan,131,93,0.611,131,0.638,105,0.442,133,0.538,70,0.979,84,0.991,62,0.975,145,0.957,100,0.048,144,0.066
Lebanon,132,,,132,0.638,,,139,0.487,,,113,0.964,,,82,0.970,,,112,0.129
Turkey,133,105,0.585,133,0.638,106,0.434,140,0.486,92,0.885,101,0.975,85,0.969,105,0.967,96,0.052,114,0.123
C̫te d'Ivoire,134,,,134,0.637,,,90,0.664,,,143,0.828,,,36,0.979,,,139,0.076
Papua New Guinea,135,,,135,0.635,,,79,0.684,,,133,0.895,,,142,0.959,,,155,0.000
Algeria,136,97,0.602,136,0.633,103,0.443,142,0.456,84,0.944,111,0.966,78,0.971,144,0.958,98,0.049,100,0.151
Bahrain,137,102,0.589,137,0.632,111,0.383,134,0.518,54,0.989,90,0.985,104,0.962,143,0.959,110,0.024,143,0.066
Niger,138,,,138,0.629,,,82,0.673,,,151,0.726,,,124,0.964,,,97,0.155
Nigeria,139,94,0.610,139,0.627,59,0.612,78,0.687,104,0.816,146,0.806,99,0.966,104,0.967,99,0.049,149,0.047
India,140,98,0.601,140,0.625,110,0.397,151,0.326,102,0.819,114,0.962,103,0.962,155,0.937,20,0.227,51,0.276
Vanuatu,141,,,141,0.625,,,124,0.576,,,122,0.947,,,61,0.975,,,155,0.000
Qatar,142,,,142,0.624,,,136,0.504,,,86,0.990,,,151,0.948,,,148,0.053
Kuwait,143,86,0.634,143,0.621,72,0.577,137,0.498,41,0.993,59,0.997,105,0.961,94,0.968,114,0.005,153,0.022
Morocco,144,107,0.583,144,0.612,102,0.461,148,0.407,99,0.848,116,0.956,90,0.968,139,0.961,92,0.053,113,0.126
Oman,145,,,145,0.608,,,143,0.453,,,98,0.977,,,138,0.961,,,150,0.041
Mauritania,146,106,0.583,146,0.606,93,0.499,145,0.440,103,0.818,138,0.879,1,0.980,146,0.957,106,0.037,101,0.147
Saudi Arabia,147,114,0.524,147,0.603,115,0.240,149,0.390,93,0.880,97,0.980,54,0.977,123,0.964,115,0.000,138,0.077
Chad,148,113,0.525,148,0.593,65,0.601,73,0.693,115,0.468,155,0.589,56,0.976,81,0.970,91,0.054,119,0.118
Mali,149,99,0.600,149,0.591,35,0.665,141,0.475,111,0.674,149,0.757,91,0.968,141,0.959,67,0.091,87,0.172
Iran Islamic Rep.,150,108,0.580,150,0.582,113,0.359,150,0.375,80,0.954,119,0.953,52,0.978,129,0.963,109,0.031,151,0.036
Congo Democratic Rep.,151,,,151,0.576,,,126,0.571,,,154,0.658,,,51,0.976,,,130,0.099
Syria,152,,,152,0.568,,,153,0.285,,,118,0.953,,,115,0.965,,,142,0.067
Pakistan,153,112,0.543,153,0.556,112,0.369,152,0.316,110,0.706,144,0.811,112,0.951,153,0.944,37,0.148,98,0.154
Iraq,154,,,154,0.535,,,155,0.228,,,145,0.807,,,96,0.968,,,109,0.136
Yemen,155,115,0.459,155,0.492,114,0.253,154,0.282,114,0.598,152,0.717,48,0.979,95,0.968,113,0.008,154,0.001
Afghanistan,156,,,156,0.444,,,156,0.180,,,156,0.514,,,149,0.952,,,111,0.132
